Plant name (English),Parent,Country,Region - analysis,Coordinates,Status,Start of operation,Estimated BF-BOF capacity (kt steel/y),Estimated EAF capacity (kt steel/y),Estimated DRI capacity (kt sponge iron/y),Abundant RES?,CCS available?,Cheap natural gas?,Industrial cluster?,Plant Technology in 2020,Source,Excel Tab
GHC Emirates Steel Industries plant,General Holding Company (GHC),United Arab Emirates,RoW,"24.322033, 54.467987",operating,1998,0,3100,1900,1,1,1,0,DRI-EAF+CCUS,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelMittal Acindar steel plant,ArcelorMittal,Argentina,RoW,"-33.249936, -60.300415",operating,1942,0,1750,1000,1,0,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
TenarisSiderca Seamless Tubes Mill steel plant,Techint Group,Argentina,RoW,"-34.152554, -58.977388",operating,1962,0,1250,1000,1,0,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Ternium Siderar steel plant,"Techint Group (Ternium S.A.) 60.93%, Administración Nacional de la Seguridad Social de Argentina 26.03%, public sharehAvg BF-BOF",Argentina,RoW,"-33.373650, -60.138697",operating,1960,3200,0,0,1,0,1,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Voestalpine Stahl Linz steel plant,Voestalpine Group,Austria,EU-27 + UK,"48.274023, 14.334340",operating,,6000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Voestalpine Stahl Donawitz steel plant,Voestalpine Group,Austria,EU-27 + UK,"47.380455, 15.065182",operating,1878,1500,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
BlueScope Port Kembla steel plant,BlueScope Steel Ltd,Australia,RoW,"-34.463834, 150.886191",operating,1928,2600,0,0,1,0,1,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
GFG Liberty Steel Australia Whyalla steel plant,GFG Alliance,Australia,RoW,"-33.009381, 137.587836",operating,,2600,1500,0,1,0,1,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Zenica steel plant,ArcelorMittal,Bosnia and Herzegovina,RoW,"44.224446, 17.899815",operating,1892,500,500,0,0,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Ghent steel plant,ArcelorMittal,Belgium,EU-27+UK,"51.169929, 3.804462",operating,1966,5500,0,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
HSBC Aperam Genk steel plant,"HSBC Trust Ltd. 40.89%, M&G plc 6.96%, Treasury Shares 0.13%, Other 52.02%",Belgium,EU-27+UK,"50.933973, 5.511494",operating,,0,1000,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
HSBC Aperam Stainless Belgium steel plant,"HSBC Trust Ltd. 40.89%, M&G plc 6.96%, Treasury Shares 0.13%, Other 52.02%",Belgium,EU-27+UK,"50.414998, 4.532443",operating,1976,0,1000,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Sidenor Stomana Industry steel plant,Sidenor S.A.,Bulgaria,EU-27+UK,"42.595629, 23.093095",operating,1958,0,1400,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Gerdau Açominas steel plant,Gerdau S.A.,Brazil,RoW,"-20.543507, -43.752950",operating,1986,7600,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Tubarão steel plant,ArcelorMittal,Brazil,RoW,"-20.253447, -40.242298",operating,1983,7500,0,0,0,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Monlevade steel plant,ArcelorMittal,Brazil,RoW,"-19.832129, -43.130164",operating,1937,3500,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Resende steel plant,ArcelorMittal,Brazil,RoW,"-22.493597, -44.512628",operating,2009,0,1000,0,0,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Ternium Brasil steel plant,"San Faustin, S.A. 73.48%, others 26.52%",Brazil,RoW,"-22.912549, -43.741614",operating,2010,5000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Presidente Vargas Steelworks,"Vicunha Aços S.A. 48.97%, NYSE 20.48%, Rio Iaco Participaçoes S.A. 4.19%, Treasury shares 0.53%, Other sharehAvg BF-BOF",Brazil,RoW,"-22.512631, -44.112870",operating,1946,2900,2900,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
CSP steel plant,"Vale 50%, Dongkuk 30%, Posco 20%",Brazil,RoW,"-3.585917, -38.858932",operating,2016,3000,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Piracicaba steel plant,ArcelorMittal,Brazil,RoW,"-22.698154, -47.657146",operating,1955,0,1100,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Gerdau Cosigua steel plant,Metalurgica Gerdau S.A.,Brazil,RoW,"-22.902420, -43.749319",operating,1971,0,1200,0,0,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Usiminas Ipatinga steel plant,"Techint Group (Ternium/Tenaris) 39.57%, Nippon Group 32.40%, Usiminas Pension Fund 4.84%, Others 23.19%",Brazil,RoW,"-19.491277, -42.544253",operating,1962,3500,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Vallourec Jeceaba steel plant,"Vallourec 85%, NSSMC (Nippon Steel & Sumitomo Metal Corporation) 15%",Brazil,RoW,"-20.582683, -43.971555",operating,2011,0,1000,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Juiz de Fora steel plant,ArcelorMittal,Brazil,RoW,"-21.626963, -43.462361",operating,1984,0,2000,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
