Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,3273535,,,,3273535,,1808137,,,0
H5,2020,2020,2020,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,905240,,,,905240,,680548,,,0
H5,2020,2020,2020,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,41014637,,,,41014637,,9665950,,,0
H5,2020,2020,2020,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,26045190,,,,26045190,,8375193,,,0
H5,2020,2020,2020,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,64513953,,,,64513953,,33237395,,,0
H5,2020,2020,2020,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,135226362,,,,135226362,,44624491,,,0
H5,2020,2020,2020,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,217650258,,,,217650258,,59500272,,,0
H5,2020,2020,2020,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,27275,,,,27275,,46270,,,0
H5,2020,2020,2020,6,1,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,647550,,,,647550,,107245,,,0
H5,2020,2020,2020,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,1859020,,,,1859020,,296918,,,0
H5,2020,2020,2020,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,3395577,,,,3395577,,814390,,,0
H5,2020,2020,2020,6,1,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,232074,,,,232074,,27047,,,0
H5,2020,2020,2020,6,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,1077057,,,,1077057,,314259,,,0
H5,2020,2020,2020,6,1,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,10261,,,,10261,,13958,,,6
H5,2020,2020,2020,6,1,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,122667,,,,122667,,12125,,,0
H5,2020,2020,2020,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,34564198,,,,34564198,,5588128,,,0
H5,2020,2020,2020,6,1,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,4573921,,,,4573921,,2354694,,,0
H5,2020,2020,2020,6,1,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,334479,,,,334479,,350329,,,0
H5,2020,2020,2020,6,1,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,2699000,,,,2699000,,1007250,,,0
H5,2020,2020,2020,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,1938484,,,,1938484,,691200,,,0
H5,2020,2020,2020,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,6757093,,,,6757093,,1850300,,,0
H5,2020,2020,2020,6,1,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,15,,,,15,,22,,,0
H5,2020,2020,2020,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,35280632,,,,35280632,,9374351,,,0
H5,2020,2020,2020,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,45717648,,,,45717648,,16775698,,,0
H5,2020,2020,2020,6,1,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,264,,,,264,,563,,,0
H5,2020,2020,2020,6,1,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,1,,,,1,,2,,,0
