Metric,Region,Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Crude steel demand,China,BAU,1004.000731,1000.907552,998.5332396,996.1198215,993.412453,990.0060145,985.3633194,979.0616165,970.8321612,960.7619947,949.1044697,935.8672365,920.7812258,903.6273582,884.4805271,863.8043647,842.3957525,821.2491015,801.3634356,783.5876027,768.5140159,756.449796,747.4544245,741.4012238,738.0200187,736.9415537,737.7500767,740.0273585,743.3822828,747.4677224,751.9920841
Crude steel demand,Europe,BAU,207.8270382,208.2327166,208.3230984,208.218277,208.0503745,207.9407864,207.8797353,207.8381564,207.816074,207.786047,207.7508043,207.7200927,207.7218441,207.7458695,207.8110673,207.9193894,208.0864757,208.3267406,208.641643,209.0330374,209.4887454,209.9944858,210.5317306,211.0673355,211.5697922,212.012618,212.3788238,212.6536518,212.8245093,212.8948137,212.7935626
Crude steel demand,NAFTA,BAU,149.4419476,153.2231945,156.9601955,160.7077395,164.4546562,168.1759617,171.8454227,175.4439719,178.9566561,182.3776891,185.7042209,188.937248,192.0698269,195.0986021,198.0188621,200.832024,203.5397888,206.1503212,208.6715474,211.1058087,213.4576409,215.7287364,217.9238916,220.0405158,222.0819385,224.0471604,225.9433845,227.7718591,229.531496,231.2232771,232.8134868
Crude steel demand,India,BAU,119.475475,128.5070433,137.6630077,146.9473138,156.3989327,166.0542734,175.9181881,186.0031639,196.3077058,206.8259318,217.5476245,228.4612889,239.5452577,250.7857079,262.1621768,273.650129,285.2253924,296.8717139,308.5732274,320.3102808,332.0595949,343.7951623,355.4991452,367.1528804,378.7307627,390.1989444,401.5191634,412.6604932,423.5884,434.2599575,444.6235969
Crude steel demand,"Japan, South Korea, and Taiwan",BAU,145.1815759,145.649647,145.9805012,146.2312305,146.4485175,146.6331981,146.7623162,146.8049786,146.7428068,146.5913834,146.3648101,146.072933,145.7462955,145.3836394,144.9929173,144.5734848,144.1351786,143.6698185,143.1865419,142.6880435,142.1815199,141.6624362,141.1384403,140.5958196,140.0373645,139.459335,138.864631,138.2593898,137.6296697,136.980447,136.2405181
Crude steel demand,South and Central America,BAU,45.91537291,48.11627178,50.07736457,51.8344339,53.46035235,55.02174619,56.55008043,58.05730403,59.55144649,61.03311704,62.50155601,63.95841862,65.40455234,66.83873328,68.25703928,69.65913634,71.04104183,72.40192309,73.7397827,75.05328345,76.34102165,77.60326782,78.83780166,80.04565247,81.225646,82.3788187,83.50496039,84.6003892,85.66269958,86.69004133,87.68030445
Crude steel demand,Middle East,BAU,55.01922818,58.34170125,61.49184312,64.42311046,67.12766685,69.62997453,71.9387907,74.09966568,76.14213493,78.09076074,79.96827905,81.76146946,83.46226952,85.08477734,86.64764821,88.15795082,89.62090165,91.03943408,92.41748069,93.75681989,95.06074625,96.32758294,97.55969761,98.75226186,99.90624054,101.0135362,102.0637644,103.0537954,103.973243,104.8084536,105.54296
Crude steel demand,Africa,BAU,40.30256228,43.61210942,46.83816506,50.00203731,53.16978653,56.3942443,59.69779632,63.10157338,66.62007285,70.26334126,74.03722167,77.94785579,81.9958216,86.18493925,90.51769765,94.99372946,99.6114497,104.3723305,109.2751528,114.3175076,119.494403,124.8018363,130.2385887,135.8051638,141.4982862,147.3145356,153.2502589,159.3090099,165.4935349,171.8049457,178.244112
Crude steel demand,CIS,BAU,62.90581066,63.01432648,62.95196874,62.82323173,62.71137139,62.6436634,62.62282121,62.65515682,62.74390733,62.88849853,63.086395,63.3341937,63.62383667,63.95127165,64.30762617,64.68665245,65.08003229,65.48427728,65.89549474,66.30675371,66.71261915,67.1095252,67.5015507,67.88757977,68.2671834,68.64512537,69.02324593,69.40428522,69.80075153,70.21566459,70.6453878
Crude steel demand,Southeast Asia,BAU,93.89326471,98.90722569,103.9366833,109.002798,114.1282683,119.3281313,124.5986269,129.932242,135.3240457,140.7666463,146.2479958,151.7556199,157.2930966,162.8490251,168.4149434,173.9816565,179.5317587,185.0491445,190.5240004,195.9375841,201.2705024,206.5033493,211.6161461,216.5874697,221.3917027,225.9882044,230.3390205,234.4180037,238.2048515,241.6819696,244.8301185
Crude steel demand,RoW,BAU,28.617724,29.97804025,31.34931889,32.73854076,34.14551359,35.56850139,37.0026851,38.45479134,39.92147451,41.40963371,42.9238972,44.46714707,46.03996526,47.65092224,49.3012807,50.99020855,52.72271065,54.491567,56.29864131,58.14154047,60.02010711,61.93892682,63.9026479,65.90923508,67.96232382,70.06120552,72.20330302,74.38489309,76.60111993,78.84817996,81.12797849
Crude steel demand,China,High Circ,991.0539077,977.3591485,963.9841077,947.0289847,926.0634196,900.9921081,871.4182335,836.8217675,797.3334722,754.2120534,709.6452424,666.1316215,625.8214997,590.1473552,559.7934239,534.8667193,515.0876319,499.9638504,490.4447089,487.065508,488.3689563,492.4714686,498.5748133,506.1606336,514.7604459,523.9508718,533.3683104,542.7198099,551.7829203,560.3962657,568.4492474
Crude steel demand,Europe,High Circ,205.5892491,202.455666,198.7630814,194.6919038,190.424411,186.1167812,181.7596143,177.3093896,172.7514073,168.044346,163.1939259,158.224509,153.1859119,148.0853976,142.9552012,137.7984039,132.6206275,127.4187016,122.6634346,118.705984,115.1223558,111.4472564,107.6241467,103.6341973,99.46527709,95.10995148,90.56569527,85.82870859,80.89137847,75.75416306,70.3667346
Crude steel demand,NAFTA,High Circ,147.4660967,148.5547509,149.3235815,149.8227025,150.0379444,149.9437687,149.5135214,148.7284953,147.5757888,146.0533905,144.1623749,141.9072777,139.2840169,136.2919086,132.9296657,129.2031121,125.1186822,120.6887751,116.3758413,112.4323268,108.5482871,104.3730553,99.87390976,95.04588237,89.88679609,84.3885434,78.54553595,72.34471866,65.76945487,58.80254542,51.40709649
Crude steel demand,India,High Circ,118.7999948,126.6973884,134.5332308,142.3003428,150.0247955,157.7285848,165.4023407,173.0434531,180.6357365,188.1589866,195.5892951,202.9020965,210.0642725,217.0503296,223.8293939,230.3677676,236.6328747,242.5995918,248.2924125,253.8385638,259.5783223,265.0672712,270.1908965,274.9311156,279.2670601,283.1744895,286.6289208,289.6144502,292.1156657,294.1144638,295.5901281
Crude steel demand,"Japan, South Korea, and Taiwan",High Circ,142.2853336,139.5380182,136.6547379,133.6999059,130.7253199,127.7362693,124.7126648,121.6256837,118.4571682,115.2386105,111.9927691,108.7216901,105.4405134,102.1317768,98.79916866,95.44050409,92.06390261,88.65997281,85.63892191,83.24933615,81.16439133,79.05552945,76.90216543,74.68945,72.41751913,70.07886542,67.67044457,65.19128573,62.62373196,59.96517279,57.16203084
Crude steel demand,South and Central America,High Circ,45.48036735,47.07270886,48.37114509,49.41429454,50.2763684,51.02359163,51.68634247,52.27528342,52.79719852,53.2515863,53.63679194,53.95371632,54.20258634,54.38156315,54.48614421,54.51523443,54.46396613,54.33033981,54.18087098,54.12777717,54.15768231,54.12663132,54.01176615,53.8148482,53.53607554,53.17797592,52.74200884,52.22719243,51.63310862,50.95965572,50.20623768
Crude steel demand,Middle East,High Circ,54.55434046,57.20000948,59.61537184,61.75211005,63.59731588,65.17244848,66.48836342,67.5947282,68.52433676,69.3051935,69.96380519,70.48995081,70.87938061,71.15002684,71.32415228,71.41190299,71.42083338,71.35481069,71.29560277,71.37914046,71.61158601,71.81605412,71.96923509,72.06888914,72.11933371,72.11771868,72.06007983,71.94909072,71.78114937,71.54980356,71.24582095
Crude steel demand,Africa,High Circ,39.96634937,42.77526577,45.44180413,47.98651492,50.47260722,52.94856518,55.43220246,57.93928259,60.47857134,63.05406593,65.66531083,68.31176572,70.98731329,73.68830936,76.40948211,79.14245674,81.87729892,84.60631259,87.36618379,90.24027361,93.30163503,96.36577784,99.38904224,102.363308,105.2774427,108.120651,110.8820075,113.5563474,116.1371858,118.6162241,120.984743
