Steel Type,Scenario,Year,Value,Units,Source,Excel Tab
Crude,BAU,2020,1953,Mt,RMI,Tech availability
Crude,BAU,2021,1978,Mt,RMI,Tech availability
Crude,BAU,2022,2004,Mt,RMI,Tech availability
Crude,BAU,2023,2029,Mt,RMI,Tech availability
Crude,BAU,2024,2054,Mt,RMI,Tech availability
Crude,BAU,2025,2077,Mt,RMI,Tech availability
Crude,BAU,2026,2100,Mt,RMI,Tech availability
Crude,BAU,2027,2121,Mt,RMI,Tech availability
Crude,BAU,2028,2141,Mt,RMI,Tech availability
Crude,BAU,2029,2159,Mt,RMI,Tech availability
Crude,BAU,2030,2175,Mt,RMI,Tech availability
Crude,BAU,2031,2190,Mt,RMI,Tech availability
Crude,BAU,2032,2204,Mt,RMI,Tech availability
Crude,BAU,2033,2215,Mt,RMI,Tech availability
Crude,BAU,2034,2225,Mt,RMI,Tech availability
Crude,BAU,2035,2233,Mt,RMI,Tech availability
Crude,BAU,2036,2241,Mt,RMI,Tech availability
Crude,BAU,2037,2249,Mt,RMI,Tech availability
Crude,BAU,2038,2259,Mt,RMI,Tech availability
Crude,BAU,2039,2270,Mt,RMI,Tech availability
Crude,BAU,2040,2285,Mt,RMI,Tech availability
Crude,BAU,2041,2302,Mt,RMI,Tech availability
Crude,BAU,2042,2322,Mt,RMI,Tech availability
Crude,BAU,2043,2345,Mt,RMI,Tech availability
Crude,BAU,2044,2371,Mt,RMI,Tech availability
Crude,BAU,2045,2398,Mt,RMI,Tech availability
Crude,BAU,2046,2427,Mt,RMI,Tech availability
Crude,BAU,2047,2457,Mt,RMI,Tech availability
Crude,BAU,2048,2487,Mt,RMI,Tech availability
Crude,BAU,2049,2517,Mt,RMI,Tech availability
Crude,BAU,2050,2547,Mt,RMI,Tech availability
Scrap,BAU,2020,692,Mt,RMI,Tech availability
Scrap,BAU,2021,708,Mt,RMI,Tech availability
Scrap,BAU,2022,725,Mt,RMI,Tech availability
Scrap,BAU,2023,743,Mt,RMI,Tech availability
Scrap,BAU,2024,763,Mt,RMI,Tech availability
Scrap,BAU,2025,784,Mt,RMI,Tech availability
Scrap,BAU,2026,805,Mt,RMI,Tech availability
Scrap,BAU,2027,828,Mt,RMI,Tech availability
Scrap,BAU,2028,852,Mt,RMI,Tech availability
Scrap,BAU,2029,876,Mt,RMI,Tech availability
Scrap,BAU,2030,902,Mt,RMI,Tech availability
Scrap,BAU,2031,928,Mt,RMI,Tech availability
Scrap,BAU,2032,954,Mt,RMI,Tech availability
Scrap,BAU,2033,981,Mt,RMI,Tech availability
Scrap,BAU,2034,1009,Mt,RMI,Tech availability
Scrap,BAU,2035,1036,Mt,RMI,Tech availability
Scrap,BAU,2036,1064,Mt,RMI,Tech availability
Scrap,BAU,2037,1093,Mt,RMI,Tech availability
Scrap,BAU,2038,1121,Mt,RMI,Tech availability
Scrap,BAU,2039,1151,Mt,RMI,Tech availability
Scrap,BAU,2040,1180,Mt,RMI,Tech availability
Scrap,BAU,2041,1209,Mt,RMI,Tech availability
Scrap,BAU,2042,1239,Mt,RMI,Tech availability
Scrap,BAU,2043,1268,Mt,RMI,Tech availability
Scrap,BAU,2044,1297,Mt,RMI,Tech availability
Scrap,BAU,2045,1325,Mt,RMI,Tech availability
Scrap,BAU,2046,1353,Mt,RMI,Tech availability
Scrap,BAU,2047,1380,Mt,RMI,Tech availability
Scrap,BAU,2048,1405,Mt,RMI,Tech availability
Scrap,BAU,2049,1429,Mt,RMI,Tech availability
Scrap,BAU,2050,1452,Mt,RMI,Tech availability
Crude,Circular,2020,1929,Mt,RMI,Tech availability
Crude,Circular,2021,1929,Mt,RMI,Tech availability
Crude,Circular,2022,1928,Mt,RMI,Tech availability
Crude,Circular,2023,1921,Mt,RMI,Tech availability
Crude,Circular,2024,1909,Mt,RMI,Tech availability
Crude,Circular,2025,1893,Mt,RMI,Tech availability
Crude,Circular,2026,1870,Mt,RMI,Tech availability
Crude,Circular,2027,1842,Mt,RMI,Tech availability
Crude,Circular,2028,1808,Mt,RMI,Tech availability
Crude,Circular,2029,1770,Mt,RMI,Tech availability
Crude,Circular,2030,1729,Mt,RMI,Tech availability
Crude,Circular,2031,1688,Mt,RMI,Tech availability
Crude,Circular,2032,1649,Mt,RMI,Tech availability
Crude,Circular,2033,1614,Mt,RMI,Tech availability
Crude,Circular,2034,1583,Mt,RMI,Tech availability
Crude,Circular,2035,1557,Mt,RMI,Tech availability
Crude,Circular,2036,1534,Mt,RMI,Tech availability
Crude,Circular,2037,1515,Mt,RMI,Tech availability
Crude,Circular,2038,1503,Mt,RMI,Tech availability
Crude,Circular,2039,1498,Mt,RMI,Tech availability
Crude,Circular,2040,1501,Mt,RMI,Tech availability
Crude,Circular,2041,1504,Mt,RMI,Tech availability
Crude,Circular,2042,1509,Mt,RMI,Tech availability
Crude,Circular,2043,1514,Mt,RMI,Tech availability
Crude,Circular,2044,1518,Mt,RMI,Tech availability
Crude,Circular,2045,1521,Mt,RMI,Tech availability
Crude,Circular,2046,1522,Mt,RMI,Tech availability
Crude,Circular,2047,1522,Mt,RMI,Tech availability
Crude,Circular,2048,1519,Mt,RMI,Tech availability
Crude,Circular,2049,1515,Mt,RMI,Tech availability
Crude,Circular,2050,1507,Mt,RMI,Tech availability
Scrap,Circular,2020,722,Mt,RMI,Tech availability
Scrap,Circular,2021,734,Mt,RMI,Tech availability
Scrap,Circular,2022,747,Mt,RMI,Tech availability
Scrap,Circular,2023,761,Mt,RMI,Tech availability
