year,plant,country_code,start_tech,end_tech,switch_type,capital_cost,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2020,GHC Emirates Steel Industries plant,ARE,DRI-EAF+CCUS,DRI-EAF+CCUS,no switch,225.2282509385423,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2020,"Angang Lianzhong (Guangzhou) Stainless Steel Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Tangshan Donghai Iron and Steel Group Co., Ltd.",CHN,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,OMK Vyksa Steel Works,RUS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,ThyssenKrupp Acciai Speciali Terni steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,"Shandong Fulun Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Baosteel Group Xinjiang Bayi Iron & Steel Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,ArcelorMittal Kryvyi Rih steel plant,UKR,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Other Europe,Europe,Eastern Europe
2020,JSW Steel Vijayanagar steel plant,IND,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,India,Asia,Southern Asia
2020,ArcelorMittal Asturias (Gijón) steel plant,ESP,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,"Hebei Xinda Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Novosibirsk Kuzmin Metallurgical Plant,RUS,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,Pittini Siderpotenza steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,"Linyi Jiangxin Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Alchevsk Iron & Steel plant,UKR,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,Other Europe,Europe,Eastern Europe
2020,Hüttenwerke Krupp Mannesmann (HKM) steel plant,DEU,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2020,"Shandong Shouguang Juneng Special Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Mass Global Investment Group Amman steel plant,JOR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2020,Nucor Steel Hertford plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2020,"Qinhuangdao Hongxing Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Balakovo Steel Factory,RUS,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,"Yangchun New Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Shandong Chuanyang Group Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Hebei Huaxi Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Severstal Cherepovets,RUS,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,"Xinxing Ductile Iron Pipes Xinjiang Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,JSW Steel Salem steel plant,IND,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,India,Asia,Southern Asia
2020,Aichi Steel plant,JPN,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,Japan,Asia,Eastern Asia
2020,"Shiheng Special Steel Group Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Leggett & Platt Sterling Steel plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2020,Gerdau Açominas steel plant,BRA,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,Central and South America,South America,South America
2020,Byelorussian Steel Works,BLR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,"Tangshan Wenfeng Special Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Metalloinvest Ural Steel,RUS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,"Heyuan Derun Steel Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Suez Steel Solb Misr plant,EGY,DRI-EAF,DRI-EAF,no switch,186.55603236551863,True,False,True,average,average,average,Africa,Africa,Northern Africa
2020,"Tangshan Jinma Steel Group Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,ArcelorMittal Tubarão steel plant,BRA,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Central and South America,South America,South America
2020,"Yantai Walsin Stainless Steel Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Tianjin Tiangang United Special Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,SAIL IISCO steel plant,IND,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,India,Asia,Southern Asia
2020,"Wu'an Mingfang Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Steel Dynamics Columbia City plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2020,ArcelorMittal Monlevade steel plant,BRA,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Central and South America,South America,South America
2020,Feralpi Siderurgica Group steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,SABIC Hadeed steel plant,SAU,DRI-EAF,DRI-EAF,no switch,186.55603236551863,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2020,"Shandong Laigang Yongfeng Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Feng Hsin Steel plant,TWN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Guangxi Liuzhou Iron & Steel Group Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,ArcelorMittal Sestao steel plant,ESP,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,"Hebei Xin Wu'an Steel Group Wen'an Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Solb Steel plant,SAU,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2020,Tenaris Dalmine steel plant,ITA,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,ThyssenKrupp Steel Duisburg steel plant,DEU,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2020,Evraz ZSMK,RUS,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,"Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,VMK Red October,RUS,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,ArcelorMittal Dunkerque steel plant,FRA,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2020,Pittini Ferriere Nord steel plant,ITA,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,Liu'an Steel HAvg BF-BOF,CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Tangshan Xinbaotai Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Zlatoust Metallurgical Plant,RUS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,"Shandong Longsheng Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Chongli Steel Manufacturing Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Lloyds Steel Industries steel plant,IND,EAF,EAF,no switch,125.411,True,False,True,average,average,average,India,Asia,Southern Asia
2020,"Hebei Xinghua Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Zavolzhsky Motor Plant,RUS,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2020,Pittini Acciaierie di Verona steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2020,"Shandong Minyuan Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,main cycle,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Yieh United Steel plant,TWN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,"Heping Yueshen Steel Industry Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2020,Steel Dynamics Columbus plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2020,ArcelorMittal Juiz de Fora steel plant,BRA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Central and South America,South America,South America
